scenario_id,AccelDur_s,LaneWidth_m,PVSpeed_kmh,PVPosit_m,PVAccel_ms2,PVDecel_ms2,PVCar,PVBus,PVMoto,Slope-6,Slope0,Slop6
5bc4920704c87d00012789f3,1.4,3.5,82.3,584.0,2.0,2.2,1,0,0,0,1,0
5bc4920704c87d00012789f4,1.9,3.5,97.3,563.0,1.5,2.8,1,0,0,0,1,0
5bc4920704c87d00012789f5,2.6,3.5,82.0,565.0,2.2,2.1,1,0,0,0,1,0
5bc4920704c87d00012789f6,1.8,3.5,83.3,687.0,2.2,1.2,1,0,0,0,1,0
5bc4920704c87d00012789f7,2.6,3.5,102.7,562.0,1.4,2.5,1,0,0,0,1,0
5bc4920704c87d00012789f8,2.7,3.5,83.8,568.0,1.4,0.7,1,0,0,0,1,0
5bc4920704c87d00012789f9,2.5,3.5,100.6,614.0,1.0,2.7,1,0,0,0,1,0
5bc4920704c87d00012789fa,1.2,3.5,102.6,663.0,2.6,0.7,1,0,0,0,1,0
5bc4920704c87d00012789fb,3.8,3.5,81.2,552.0,2.5,0.9,1,0,0,0,1,0
5bc4920704c87d00012789fc,3.8,3.5,93.9,647.0,2.5,0.3,1,0,0,0,1,0
5bc4920704c87d00012789fd,3.6,3.5,94.3,601.0,1.5,1.5,1,0,0,0,1,0
5bc4920704c87d00012789fe,3.9,3.5,98.4,590.0,2.4,0.7,1,0,0,0,1,0
5bc4920704c87d00012789ff,2.6,3.5,102.6,536.0,2.4,0.2,1,0,0,0,1,0
5bc4920704c87d0001278a00,0.1,3.5,64.8,516.0,2.9,0.0,1,0,0,0,1,0
5bc4920704c87d0001278a01,3.0,3.5,100.5,563.0,2.3,2.8,1,0,0,0,1,0
5bc4920704c87d0001278a02,0.5,3.5,71.7,650.0,1.6,1.4,1,0,0,0,1,0
5bc4920704c87d0001278a03,1.7,3.5,109.4,525.0,2.2,0.2,1,0,0,0,1,0
5bc4920704c87d0001278a04,2.4,3.5,94.7,644.0,1.1,2.3,1,0,0,0,1,0
5bc4920704c87d0001278a05,4.4,3.5,89.8,654.0,1.5,1.9,1,0,0,0,1,0
5bc4920704c87d0001278a06,3.2,3.5,65.8,707.0,2.0,0.6,1,0,0,0,1,0
5bc4920704c87d0001278a07,1.6,3.5,103.9,690.0,2.2,0.3,1,0,0,0,1,0
5bc4920704c87d0001278a08,4.2,3.5,78.1,513.0,3.0,2.4,1,0,0,0,1,0
5bc4920704c87d0001278a09,0.4,3.5,83.8,521.0,1.3,1.6,1,0,0,0,1,0
5bc4920704c87d0001278a0a,2.6,3.5,67.5,522.0,2.1,2.5,1,0,0,0,1,0
5bc4920704c87d0001278a0b,2.4,3.5,85.1,653.0,1.5,2.1,1,0,0,0,1,0
5bc4920704c87d0001278a0c,4.9,3.5,80.6,619.0,3.0,0.1,1,0,0,0,1,0
5bc4920704c87d0001278a0d,3.6,3.5,62.5,546.0,2.5,1.9,1,0,0,0,1,0
5bc4920704c87d0001278a0e,2.4,3.5,108.7,628.0,1.4,2.2,1,0,0,0,1,0
5bc4920704c87d0001278a0f,0.5,3.5,75.2,574.0,2.0,2.3,1,0,0,0,1,0
5bc4920704c87d0001278a10,3.4,3.5,106.8,555.0,1.6,0.1,1,0,0,0,1,0
5bc4920704c87d0001278a11,0.9,3.5,90.6,610.0,1.7,1.2,1,0,0,0,1,0
5bc4920704c87d0001278a12,2.0,3.5,79.9,641.0,1.5,2.6,1,0,0,0,1,0
5bc4920704c87d0001278a13,4.8,3.5,109.6,621.0,1.5,0.8,1,0,0,0,1,0
5bc4920704c87d0001278a14,2.1,3.5,100.9,691.0,1.0,2.9,1,0,0,0,1,0
5bc4920704c87d0001278a15,1.5,3.5,82.4,697.0,2.2,2.6,1,0,0,0,1,0
5bc4920704c87d0001278a16,0.5,3.5,109.0,537.0,1.9,1.4,1,0,0,0,1,0
5bc4920704c87d0001278a17,1.4,3.5,81.9,603.0,1.1,1.7,1,0,0,0,1,0
5bc4920704c87d0001278a18,2.8,3.5,107.2,658.0,2.4,2.5,1,0,0,0,1,0
5bc4920704c87d0001278a19,0.5,3.5,75.7,617.0,1.2,0.3,1,0,0,0,1,0
5bc4920704c87d0001278a1a,1.0,3.5,76.6,523.0,1.5,0.9,1,0,0,0,1,0
5bc4920704c87d0001278a1b,4.5,3.5,87.1,684.0,1.1,2.5,1,0,0,0,1,0
5bc4920704c87d0001278a1c,0.9,3.5,101.7,696.0,2.8,1.8,1,0,0,0,1,0
5bc4920704c87d0001278a1d,3.7,3.5,88.1,564.0,2.4,2.9,1,0,0,0,1,0
5bc4920704c87d0001278a1e,4.8,3.5,87.2,607.0,2.8,0.2,1,0,0,0,1,0
5bc4920704c87d0001278a1f,1.8,3.5,106.9,519.0,1.9,0.9,1,0,0,0,1,0
5bc4920704c87d0001278a20,4.1,3.5,93.9,691.0,1.8,0.4,1,0,0,0,1,0
5bc4920704c87d0001278a21,0.6,3.5,74.0,614.0,1.3,1.2,1,0,0,0,1,0
5bc4920704c87d0001278a22,3.4,3.5,100.7,684.0,2.4,2.8,1,0,0,0,1,0
5bc4920704c87d0001278a23,2.6,3.5,90.7,583.0,2.3,1.1,1,0,0,0,1,0
5bc4920704c87d0001278a24,0.4,3.5,109.4,561.0,2.1,3.0,1,0,0,0,1,0
5bc4920704c87d0001278a25,1.8,3.5,72.3,569.0,1.6,1.2,1,0,0,0,1,0
5bc4920704c87d0001278a26,0.9,3.5,73.6,678.0,2.6,0.5,1,0,0,0,1,0
5bc4920704c87d0001278a27,2.7,3.5,95.4,615.0,2.3,1.4,1,0,0,0,1,0
5bc4920704c87d0001278a28,3.1,3.5,105.2,599.0,2.5,1.2,1,0,0,0,1,0
5bc4920704c87d0001278a29,1.5,3.5,100.3,677.0,1.3,2.7,1,0,0,0,1,0
5bc4920704c87d0001278a2a,0.7,3.5,67.6,547.0,2.3,2.1,1,0,0,0,1,0
5bc4920704c87d0001278a2b,0.5,3.5,91.3,694.0,1.5,0.2,1,0,0,0,1,0
5bc4920704c87d0001278a2c,0.5,3.5,62.7,662.0,1.6,1.1,1,0,0,0,1,0
5bc4920704c87d0001278a2d,3.9,3.5,84.7,630.0,2.3,0.7,1,0,0,0,1,0
5bc4920704c87d0001278a2e,3.7,3.5,106.7,529.0,1.1,2.6,1,0,0,0,1,0
5bc4920704c87d0001278a2f,0.8,3.5,72.9,671.0,1.2,1.0,1,0,0,0,1,0
5bc4920704c87d0001278a30,1.2,3.5,73.8,596.0,1.7,0.5,1,0,0,0,1,0
5bc4920704c87d0001278a31,0.1,3.5,69.3,660.0,2.7,0.3,1,0,0,0,1,0
5bc4920704c87d0001278a32,3.0,3.5,91.7,681.0,1.9,0.8,1,0,0,0,1,0
5bc4920704c87d0001278a33,3.4,3.5,98.4,554.0,2.4,1.9,1,0,0,0,1,0
5bc4920704c87d0001278a34,2.5,3.5,71.9,691.0,2.1,2.2,1,0,0,0,1,0
5bc4920704c87d0001278a35,4.4,3.5,85.5,668.0,1.5,1.4,1,0,0,0,1,0
5bc4920704c87d0001278a36,2.6,3.5,84.7,599.0,2.8,2.1,1,0,0,0,1,0
5bc4920704c87d0001278a37,4.4,3.5,75.6,670.0,2.0,0.6,1,0,0,0,1,0
5bc4920704c87d0001278a38,3.0,3.5,90.1,518.0,1.2,0.2,1,0,0,0,1,0
5bc4920704c87d0001278a39,1.2,3.5,67.9,651.0,1.2,1.8,1,0,0,0,1,0
5bc4920704c87d0001278a3a,0.1,3.5,71.3,636.0,1.0,0.6,1,0,0,0,1,0
5bc4920704c87d0001278a3b,4.9,3.5,66.7,699.0,1.2,0.2,1,0,0,0,1,0
5bc4920704c87d0001278a3c,1.5,3.5,91.8,522.0,1.6,2.0,1,0,0,0,1,0
5bc4920704c87d0001278a3d,4.3,3.5,63.2,668.0,1.5,2.5,1,0,0,0,1,0
5bc4920704c87d0001278a3e,4.9,3.5,93.4,546.0,1.1,1.8,1,0,0,0,1,0
5bc4920704c87d0001278a3f,1.6,3.5,62.2,550.0,1.8,2.8,1,0,0,0,1,0
5bc4920704c87d0001278a40,3.5,3.5,103.1,555.0,1.3,1.3,1,0,0,0,1,0
5bc4920704c87d0001278a41,3.8,3.5,70.4,537.0,1.6,1.4,1,0,0,0,1,0
5bc4920704c87d0001278a42,4.4,3.5,84.9,674.0,2.9,0.6,1,0,0,0,1,0
5bc4920704c87d0001278a43,4.2,3.5,91.6,615.0,2.4,2.7,1,0,0,0,1,0
5bc4920704c87d0001278a44,2.3,3.5,96.0,690.0,2.7,1.9,1,0,0,0,1,0
5bc4920704c87d0001278a45,3.2,3.5,84.2,701.0,2.4,2.5,1,0,0,0,1,0
5bc4920704c87d0001278a46,3.6,3.5,78.9,556.0,1.0,0.6,1,0,0,0,1,0
5bc4920704c87d0001278a47,0.3,3.5,79.2,529.0,2.8,0.6,1,0,0,0,1,0
5bc4920704c87d0001278a48,4.7,3.5,84.7,529.0,2.3,1.4,1,0,0,0,1,0
5bc4920704c87d0001278a49,1.8,3.5,78.8,654.0,2.4,2.1,1,0,0,0,1,0
5bc4920704c87d0001278a4a,0.8,3.5,97.0,584.0,1.3,2.8,1,0,0,0,1,0
5bc4920704c87d0001278a4b,3.3,3.5,60.6,615.0,2.1,1.2,1,0,0,0,1,0
5bc4920704c87d0001278a4c,0.3,3.5,106.0,619.0,2.3,1.7,1,0,0,0,1,0
5bc4920704c87d0001278a4d,0.4,3.5,77.5,655.0,1.4,0.6,1,0,0,0,1,0
5bc4920704c87d0001278a4e,0.0,3.5,78.8,636.0,2.7,0.2,1,0,0,0,1,0
5bc4920704c87d0001278a4f,3.8,3.5,78.6,530.0,2.5,2.5,1,0,0,0,1,0
5bc4920704c87d0001278a50,4.9,3.5,106.7,671.0,1.9,3.0,1,0,0,0,1,0
5bc4920704c87d0001278a51,1.4,3.5,79.7,602.0,2.0,2.1,1,0,0,0,1,0
5bc4920704c87d0001278a52,1.7,3.5,92.7,690.0,1.8,2.3,1,0,0,0,1,0
5bc4920704c87d0001278a53,1.4,3.5,76.4,555.0,2.1,1.0,1,0,0,0,1,0
5bc4920704c87d0001278a54,3.1,3.5,82.6,662.0,2.3,2.4,1,0,0,0,1,0
5bc4920704c87d0001278a55,0.2,3.5,108.1,643.0,2.1,1.1,1,0,0,0,1,0
5bc4920704c87d0001278a56,2.6,3.5,75.3,640.0,1.8,1.7,1,0,0,0,1,0
5bc4920704c87d0001278a57,2.3,3.5,81.0,679.0,1.9,0.3,1,0,0,0,1,0
5bc4920704c87d0001278a58,1.9,3.5,107.0,640.0,1.5,0.6,1,0,0,0,1,0
5bc4920704c87d0001278a59,4.1,3.5,65.7,630.0,2.9,0.4,1,0,0,0,1,0
5bc4920704c87d0001278a5a,0.1,3.5,72.6,661.0,1.9,1.3,1,0,0,0,1,0
5bc4920704c87d0001278a5b,2.2,3.5,61.0,625.0,1.1,2.9,1,0,0,0,1,0
5bc4920704c87d0001278a5c,4.9,3.5,97.8,555.0,2.4,2.7,1,0,0,0,1,0
5bc4920704c87d0001278a5d,3.1,3.5,71.9,686.0,2.3,2.0,1,0,0,0,1,0
5bc4920704c87d0001278a5e,4.3,3.5,98.6,688.0,1.5,2.9,1,0,0,0,1,0
5bc4920704c87d0001278a5f,0.4,3.5,82.4,563.0,2.5,1.0,1,0,0,0,1,0
5bc4920704c87d0001278a60,4.1,3.5,66.9,529.0,2.5,2.1,1,0,0,0,1,0
5bc4920704c87d0001278a61,3.4,3.5,96.5,530.0,1.1,0.4,1,0,0,0,1,0
5bc4920704c87d0001278a62,0.4,3.5,103.0,544.0,1.2,2.1,1,0,0,0,1,0
5bc4920704c87d0001278a63,4.6,3.5,90.5,633.0,2.0,1.3,1,0,0,0,1,0
5bc4920704c87d0001278a64,2.0,3.5,85.9,673.0,1.1,0.7,1,0,0,0,1,0
5bc4920704c87d0001278a65,3.0,3.5,68.2,574.0,2.2,1.0,1,0,0,0,1,0
5bc4920704c87d0001278a66,3.4,3.5,80.4,707.0,1.6,1.8,1,0,0,0,1,0
5bc4920704c87d0001278a67,1.9,3.5,69.6,512.0,2.3,1.7,1,0,0,0,1,0
